# DATE, Yesterday Price, Predicted Price
12/12/24,137.9185638,142.54708862304688
12/13/24,136.5378265,141.63092041015625
12/16/2024,135.071579,140.91075134277344
12/17/2024,134.2674255,140.2228240966797
12/18/2024,133.5025024,139.5824737548828
12/19/2024,132.7795563,138.99984741210938
12/20/2024,132.1826019,138.4675750732422
12/23/2024,131.7331238,137.9821319580078
12/24/2024,131.4379272,137.54959106445312
12/25/2024,131.3114929,137.18251037597656
12/26/2024,131.3314667,136.8969268798828
12/27/2024,131.4426117,136.7039337158203
12/30/2024,131.5298462,136.6000213623047
12/31/2024,131.4274292,136.5557861328125
1/1/24,131.1299591,136.50778198242188
1/2/24,130.7710114,136.39163208007812
1/3/24,130.4516754,136.18576049804688
1/4/24,130.2106018,135.9156951904297
1/5/24,130.0705109,135.63002014160156
1/8/2024,130.0999603,135.37759399414062
