Date,Close,MACD_10_24_9,MACD_Signal_10_24_9
2023-02-15 00:00:00-05:00,22.747453689575195,1.9564590286701957,2.1720284606641167
2023-02-16 00:00:00-05:00,21.98600959777832,1.8204292774330177,2.101708624017897
2023-02-17 00:00:00-05:00,21.372455596923828,1.629086049652095,2.0071841091447364
2023-02-21 00:00:00-05:00,20.639986038208008,1.386782267858269,1.883103740887443
2023-02-22 00:00:00-05:00,20.738914489746094,1.1942949396412175,1.7453419806381978
2023-02-23 00:00:00-05:00,23.646799087524414,1.3281084379623067,1.6618952721030196
2023-02-24 00:00:00-05:00,23.269073486328125,1.3710562327518332,1.6037274642327823
2023-02-27 00:00:00-05:00,23.483915328979492,1.4053163788778775,1.5640452471618014
2023-02-28 00:00:00-05:00,23.199125289916992,1.3816671557463494,1.527569628878711
2023-03-01 00:00:00-05:00,22.681501388549805,1.2910652392027409,1.480268750943517
2023-03-02 00:00:00-05:00,23.29705238342285,1.2667618580213116,1.437567372359076
2023-03-03 00:00:00-05:00,23.87263298034668,1.2886469830294054,1.4077832944931419
2023-03-06 00:00:00-05:00,23.536880493164062,1.252190849587386,1.3766648055119908
2023-03-07 00:00:00-05:00,23.275026321411133,1.1798741229330965,1.3373066689962119
2023-03-08 00:00:00-05:00,24.167530059814453,1.1991506529917224,1.309675465795314
2023-03-09 00:00:00-05:00,23.422945022583008,1.1204061368742266,1.2718216000110965
2023-03-10 00:00:00-05:00,22.952205657958984,0.9969063492622574,1.2168385498613286
2023-03-13 00:00:00-04:00,22.953203201293945,0.8895458030100833,1.1513800004910795
2023-03-14 00:00:00-04:00,24.04959487915039,0.9074263509873219,1.102589270590328
2023-03-15 00:00:00-04:00,24.21450424194336,0.9244773698438387,1.06696689044103
2023-03-16 00:00:00-04:00,25.526771545410156,1.057477864102001,1.0650690851732243
2023-03-17 00:00:00-04:00,25.710670471191406,1.1609337214725706,1.0842420124330936
2023-03-20 00:00:00-04:00,25.88557243347168,1.2397296579586268,1.1153395415382001
2023-03-21 00:00:00-04:00,26.184406280517578,1.3114357959152194,1.154558792413604
2023-03-22 00:00:00-04:00,26.4532527923584,1.3737089948421222,1.1983888328993078
2023-03-23 00:00:00-04:00,27.175851821899414,1.4741762276626602,1.2535463118519783
