Date,Real Price,Predicted Price
2024-11-08 05:00:00,147.6198272705078,140.9974190699886
2024-11-11 05:00:00,145.24998474121094,140.9641975106333
2024-11-12 05:00:00,148.27976989746094,140.91298711650234
2024-11-13 05:00:00,146.25991821289062,140.855092331607
2024-11-14 05:00:00,146.7498779296875,140.8102506383275
2024-11-15 05:00:00,141.97021484375,140.77736123966315
2024-11-18 05:00:00,140.1403350830078,140.75747277515075
2024-11-19 05:00:00,146.99986267089844,140.72803125936116
2024-11-20 05:00:00,145.87994384765625,140.69404929908524
2024-11-21 05:00:00,146.65989685058594,140.64932290125216
2024-11-22 05:00:00,141.94021606445312,140.59935605086503
2024-11-25 05:00:00,136.01063537597656,140.54464012613607
2024-11-26 05:00:00,136.9105682373047,140.46107288849817
2024-11-27 05:00:00,135.33067321777344,140.3482288428513
2024-11-29 05:00:00,138.240478515625,140.1814100574884
2024-12-02 05:00:00,138.62045288085938,139.95133524897028
2024-12-03 05:00:00,140.25033569335938,139.66599548978775
2024-12-04 05:00:00,145.1300048828125,139.32429272806985
2024-12-05 05:00:00,145.05999755859375,138.95156176560886
2024-12-06 05:00:00,142.44000244140625,138.57072992547
2024-12-09 05:00:00,138.80999755859375,138.21796978141174
2024-12-10 05:00:00,135.07000732421875,137.91121801074587
2024-12-11 05:00:00,139.30999755859375,137.65461701415552
2024-12-12 05:00:00,137.33999633789062,137.45056328984901
2024-12-13 05:00:00,134.25,137.30072038641083
2024-12-16 05:00:00,132.0,137.20156630246493
2024-12-17 05:00:00,130.38999938964844,137.14539820413665
2024-12-18 05:00:00,128.91000366210938,137.121504595425
2024-12-19 05:00:00,130.67999267578125,137.1208869412476
2024-12-20 05:00:00,134.6999969482422,137.1375141917033
2024-12-23 05:00:00,139.6699981689453,137.17465579623786
2024-12-24 05:00:00,140.22000122070312,137.24677309799154
2024-12-26 05:00:00,139.92999267578125,137.37729577876053
2024-12-27 05:00:00,137.00999450683594,137.58173382122186
2024-12-30 05:00:00,138.49000549316406,137.87472700194485
