Date,Real Price,Predicted Price
2024-11-11 05:00:00,145.24998474121094,132.16989148069365
2024-11-12 05:00:00,148.27976989746094,131.98377113689617
2024-11-13 05:00:00,146.25991821289062,131.82093981006142
2024-11-14 05:00:00,146.7498779296875,131.6755546968161
2024-11-15 05:00:00,141.97021484375,131.5253816356717
2024-11-18 05:00:00,140.1403350830078,131.34121345947256
2024-11-19 05:00:00,146.99986267089844,131.07593785684526
2024-11-20 05:00:00,145.87994384765625,130.73746624384626
2024-11-21 05:00:00,146.65989685058594,130.38067165426628
2024-11-22 05:00:00,141.94021606445312,130.01957544625907
2024-11-25 05:00:00,136.01063537597656,129.63875892065312
2024-11-26 05:00:00,136.9105682373047,129.16984826353018
2024-11-27 05:00:00,135.33067321777344,128.5543880423138
2024-11-29 05:00:00,138.240478515625,127.79482360378508
2024-12-02 05:00:00,138.62045288085938,126.93384919580537
2024-12-03 05:00:00,140.25033569335938,126.05525048175356
2024-12-04 05:00:00,145.1300048828125,125.24682705557917
2024-12-05 05:00:00,145.05999755859375,124.61318770171012
2024-12-06 05:00:00,142.44000244140625,124.22906961546416
2024-12-09 05:00:00,138.80999755859375,124.07199889547225
2024-12-10 05:00:00,135.07000732421875,124.06329291295471
2024-12-11 05:00:00,139.30999755859375,124.1140081722465
2024-12-12 05:00:00,137.33999633789062,124.20586279503188
2024-12-13 05:00:00,134.25,124.35461796602591
2024-12-16 05:00:00,132.0,124.54013553526671
2024-12-17 05:00:00,130.38999938964844,124.73563313324713
2024-12-18 05:00:00,128.91000366210938,124.93536385254608
2024-12-19 05:00:00,130.67999267578125,125.15001324212291
2024-12-20 05:00:00,134.6999969482422,125.40802130151566
2024-12-23 05:00:00,139.6699981689453,125.75317823232514
2024-12-24 05:00:00,140.22000122070312,126.21191021909318
2024-12-26 05:00:00,139.92999267578125,126.76588058581707
2024-12-27 05:00:00,137.00999450683594,127.35198294623866
2024-12-30 05:00:00,137.49000549316406,127.90887813950464
