Date,Real Price,Predicted Price
2024-10-30 00:00:00-04:00,139.3303985595703,144.12893422508617
2024-10-31 00:00:00-04:00,132.7508544921875,143.93876009490535
2024-11-01 00:00:00-04:00,135.3906707763672,143.25437469078045
2024-11-04 00:00:00-05:00,136.04063415527344,142.20752882940272
2024-11-05 00:00:00-05:00,139.90036010742188,140.97105005143706
2024-11-06 00:00:00-05:00,145.59996032714844,139.7906076962436
2024-11-07 00:00:00-05:00,148.8697509765625,138.96729692600368
2024-11-08 00:00:00-05:00,147.6198272705078,138.67375099957965
2024-11-11 00:00:00-05:00,145.24998474121094,138.77648444132868
2024-11-12 00:00:00-05:00,148.27976989746094,139.06986384049335
2024-11-13 00:00:00-05:00,146.25991821289062,139.53974825730032
2024-11-14 00:00:00-05:00,146.7498779296875,140.05007104358677
2024-11-15 00:00:00-05:00,141.97021484375,140.52583942355753
2024-11-18 00:00:00-05:00,140.1403350830078,140.74504480595218
2024-11-19 00:00:00-05:00,146.99986267089844,140.56795694290216
2024-11-20 00:00:00-05:00,145.87994384765625,140.38062765340194
2024-11-21 00:00:00-05:00,146.65989685058594,140.19568525461912
2024-11-22 00:00:00-05:00,141.94021606445312,140.09930760326873
2024-11-25 00:00:00-05:00,136.01063537597656,139.92627190352962
2024-11-26 00:00:00-05:00,136.9105682373047,139.3736650706392
2024-11-27 00:00:00-05:00,135.33067321777344,138.58751763377816
2024-11-29 00:00:00-05:00,138.240478515625,137.55049688070224
2024-12-02 00:00:00-05:00,138.62045288085938,136.47674298966743
2024-12-03 00:00:00-05:00,140.25033569335938,135.5124530171138
2024-12-04 00:00:00-05:00,145.1300048828125,134.74710067176446
2024-12-05 00:00:00-05:00,145.05999755859375,134.4312956016736
2024-12-06 00:00:00-05:00,142.44000244140625,134.52673653719015
2024-12-09 00:00:00-05:00,138.80999755859375,134.8907304329562
2024-12-10 00:00:00-05:00,135.07000732421875,135.27852384953806
2024-12-11 00:00:00-05:00,139.30999755859375,135.45843573736127
2024-12-12 00:00:00-05:00,137.33999633789062,135.58002145259618
2024-12-13 00:00:00-05:00,134.25,135.60944126841517
2024-12-16 00:00:00-05:00,132.0,135.40433519397905
2024-12-17 00:00:00-05:00,130.38999938964844,134.94738439431515
2024-12-18 00:00:00-05:00,128.91000366210938,134.21885538919017
2024-12-19 00:00:00-05:00,130.67999267578125,133.2280112574056
2024-12-20 00:00:00-05:00,134.6999969482422,132.1771548645318
2024-12-23 00:00:00-05:00,139.6699981689453,131.36617405011978
2024-12-24 00:00:00-05:00,140.22000122070312,131.1155435861581
2024-12-26 00:00:00-05:00,139.92999267578125,131.44540633239265
2024-12-27 00:00:00-05:00,136.47999572753906,132.29696428900027
