Date,Real Price,Predicted Price
2024-10-30 04:00:00,139.3303985595703,141.7382997099285
2024-10-31 04:00:00,132.7508544921875,142.38612278116491
2024-11-01 04:00:00,135.3906707763672,142.85744041247474
2024-11-04 05:00:00,136.04063415527344,143.1336622663239
2024-11-05 05:00:00,139.90036010742188,143.2317612225825
2024-11-06 05:00:00,145.59996032714844,143.1926235131032
2024-11-07 05:00:00,148.8697509765625,143.0924900751052
2024-11-08 05:00:00,147.6198272705078,143.01761638110477
2024-11-11 05:00:00,145.24998474121094,143.0161955205049
2024-11-12 05:00:00,148.27976989746094,143.08865345361122
2024-11-13 05:00:00,146.25991821289062,143.22773396151118
2024-11-14 05:00:00,146.7498779296875,143.41336031371614
2024-11-15 05:00:00,141.97021484375,143.61786892030798
2024-11-18 05:00:00,140.1403350830078,143.79242328331023
2024-11-19 05:00:00,146.99986267089844,143.87875322441144
2024-11-20 05:00:00,145.87994384765625,143.87917322723027
2024-11-21 05:00:00,146.65989685058594,143.81269065337622
2024-11-22 05:00:00,141.94021606445312,143.70212863474902
2024-11-25 05:00:00,136.01063537597656,143.5325428157312
2024-11-26 05:00:00,136.9105682373047,143.25247242541448
2024-11-27 05:00:00,135.33067321777344,142.81168989265646
2024-11-29 05:00:00,138.240478515625,142.18696399771218
2024-12-02 05:00:00,138.62045288085938,141.3918361080596
2024-12-03 05:00:00,140.25033569335938,140.4534991721603
2024-12-04 05:00:00,145.1300048828125,139.42346162081688
2024-12-05 05:00:00,145.05999755859375,138.38041291832
2024-12-06 05:00:00,142.44000244140625,137.41494260882703
2024-12-09 05:00:00,138.80999755859375,136.5619377349913
2024-12-10 05:00:00,135.07000732421875,135.8059535123048
2024-12-11 05:00:00,139.30999755859375,135.0940129894707
2024-12-12 05:00:00,137.33999633789062,134.4105135085811
2024-12-13 05:00:00,134.25,133.75586613622457
2024-12-16 05:00:00,132.0,133.1214533677567
2024-12-17 05:00:00,130.38999938964844,132.47788989957647
2024-12-18 05:00:00,128.91000366210938,131.80013641469762
2024-12-19 05:00:00,130.67999267578125,131.0677468184504
2024-12-20 05:00:00,134.6999969482422,130.29075053984891
2024-12-23 05:00:00,139.6699981689453,129.53101607922693
2024-12-24 05:00:00,140.22000122070312,128.91130340941803
2024-12-26 05:00:00,139.92999267578125,128.54172773754001
2024-12-27 05:00:00,136.26010131835938,128.528374030896
