MACD_Params,Trend_Accuracy,MAPE,Overall_Accuracy
"{'short': 12, 'long': 26, 'signal': 9}",42.42424242424242,3.1544277822486184,96.84557221775138
"{'short': 10, 'long': 24, 'signal': 7}",37.03703703703704,3.3451831915002255,96.65481680849977
"{'short': 10, 'long': 24, 'signal': 9}",52.38095238095239,3.383694823235318,96.61630517676468
"{'short': 10, 'long': 24, 'signal': 11}",40.0,3.262828974796175,96.73717102520382
