Date,Real Price,Predicted Price
2024-10-31 04:00:00,132.7508544921875,156.80581866986404
2024-11-01 04:00:00,135.3906707763672,156.37151257520736
2024-11-04 05:00:00,136.04063415527344,155.62331987060816
2024-11-05 05:00:00,139.90036010742188,154.6309503430598
2024-11-06 05:00:00,145.59996032714844,153.53897477318458
2024-11-07 05:00:00,148.8697509765625,152.5575174590698
2024-11-08 05:00:00,147.6198272705078,151.86502518509997
2024-11-11 05:00:00,145.24998474121094,151.50756995828658
2024-11-12 05:00:00,148.27976989746094,151.41815399762197
2024-11-13 05:00:00,146.25991821289062,151.5688869693597
2024-11-14 05:00:00,146.7498779296875,151.8802862365343
2024-11-15 05:00:00,141.97021484375,152.28299505435166
2024-11-18 05:00:00,140.1403350830078,152.63849250169608
2024-11-19 05:00:00,146.99986267089844,152.82964880525617
2024-11-20 05:00:00,145.87994384765625,152.93154962187862
2024-11-21 05:00:00,146.65989685058594,152.99415042276746
2024-11-22 05:00:00,141.94021606445312,153.05691169738327
2024-11-25 05:00:00,136.01063537597656,153.0608753984393
2024-11-26 05:00:00,136.9105682373047,152.86898091573516
2024-11-27 05:00:00,135.33067321777344,152.44422300783287
2024-11-29 05:00:00,138.240478515625,151.78693866955905
2024-12-02 05:00:00,138.62045288085938,150.99127783652375
2024-12-03 05:00:00,140.25033569335938,150.161067010073
2024-12-04 05:00:00,145.1300048828125,149.40616650368668
2024-12-05 05:00:00,145.05999755859375,148.88613534408557
2024-12-06 05:00:00,142.44000244140625,148.68470872199975
2024-12-09 05:00:00,138.80999755859375,148.76976782097728
2024-12-10 05:00:00,135.07000732421875,149.02399832292076
2024-12-11 05:00:00,139.30999755859375,149.29566429529893
2024-12-12 05:00:00,137.33999633789062,149.5750490539441
2024-12-13 05:00:00,134.25,149.84304017797479
2024-12-16 05:00:00,132.0,150.03944397240662
2024-12-17 05:00:00,130.38999938964844,150.10520610571666
2024-12-18 05:00:00,128.91000366210938,150.0051988790724
2024-12-19 05:00:00,130.67999267578125,149.7282212263317
2024-12-20 05:00:00,134.6999969482422,149.33619995873016
2024-12-23 05:00:00,139.6699981689453,148.9709457087863
2024-12-24 05:00:00,140.22000122070312,148.81951467633627
2024-12-26 05:00:00,139.92999267578125,148.9903790771217
2024-12-27 05:00:00,137.00999450683594,149.5027235452012
2024-12-30 05:00:00,137.9600067138672,150.2725962503133
