Date,Predicted Price
2024-12-18,139.77807348795102
2024-12-19,138.07920727529634
2024-12-20,140.0939659111164
2024-12-23,144.70164602451297
2024-12-24,150.41497715483843
2024-12-26,151.07911760756667
2024-12-27,150.7527610303259
2024-12-30,147.40355528689636
2024-12-31,147.9498677802645
2025-01-02,144.28460682661023
2025-01-03,148.8714524128051
2025-01-06,155.95067583359707
2025-01-07,161.66003643713572
2025-01-08,151.08550983064006
2025-01-10,150.98130202769318
2025-01-13,146.17364793795963
2025-01-14,143.0836694609769
2025-01-15,141.39853052581208
2025-01-16,146.51277768958542
2025-01-17,143.48197587392605
