Date,VaR,Actual Loss,Violation
2021-07-30,17.58848545109737,3.6299999999999955,False
2021-08-02,18.38711766475444,3.8899999999999864,False
2021-08-03,16.643964210306706,-2.3799999999999955,False
2021-08-04,18.988766846571878,-1.509999999999991,False
2021-08-05,14.931997941706015,-3.1899999999999977,False
2021-08-06,15.760030210339096,-3.480000000000018,False
2021-08-09,15.685226601975899,-4.1299999999999955,False
2021-08-10,16.323716461294453,-0.029999999999972715,False
2021-08-11,15.59009643542231,1.1299999999999955,False
2021-08-12,15.582129050603442,2.140000000000043,False
2021-08-13,14.76827168299667,-0.7699999999999818,False
2021-08-16,14.199601274182726,-0.25,False
2021-08-17,12.592052597234556,1.1099999999999568,False
2021-08-18,15.25420404748229,4.0,False
2021-08-19,15.242191486570562,3.569999999999993,False
2021-08-20,16.02905562694866,1.089999999999975,False
2021-08-23,14.215428485047369,-4.239999999999952,False
2021-08-24,14.250868560424635,-8.629999999999995,False
2021-08-25,15.432931443529014,-12.580000000000041,False
2021-08-26,14.90726809418328,-8.450000000000045,False
2021-08-27,16.503155322167743,-8.299999999999955,False
2021-08-30,15.345787524031039,-7.03000000000003,False
2021-08-31,15.45560688989616,-5.579999999999984,False
2021-09-01,17.152578114024664,-5.779999999999973,False
2021-09-02,16.198127915590135,-7.979999999999961,False
2021-09-03,15.0342627533567,-5.53000000000003,False
2021-09-07,16.47666649286191,-1.8500000000000227,False
2021-09-08,15.217952287857656,-0.8299999999999841,False
2021-09-09,17.69336422299233,1.1100000000000136,False
2021-09-10,16.882030476654847,3.8100000000000023,False
2021-09-13,16.002758142243522,5.240000000000009,False
2021-09-14,15.61348629062968,6.850000000000023,False
2021-09-15,15.015687606098766,2.7299999999999613,False
2021-09-16,15.566610701692127,1.1599999999999682,False
2021-09-17,15.832917210495964,2.759999999999991,False
2021-09-20,14.607738213101584,10.620000000000005,False
2021-09-21,15.848656723119063,9.100000000000023,False
2021-09-22,16.874947615645397,8.470000000000027,False
2021-09-23,15.942723383041596,5.330000000000041,False
2021-09-24,17.478187482484884,0.5,False
2021-09-27,15.922204974358465,-4.650000000000034,False
2021-09-28,17.01451322186682,6.279999999999973,False
2021-09-29,18.210490528801472,10.29000000000002,False
2021-09-30,16.203572215495058,15.009999999999991,False
2021-10-01,15.808943924995901,13.139999999999986,False
2021-10-04,16.174357429005227,17.730000000000018,True
2021-10-05,16.064132948277404,2.490000000000009,False
2021-10-06,17.64402116858838,-0.3900000000000432,False
2021-10-07,18.283882887922232,-5.009999999999991,False
