Date,Close
01/02/2020,216.05
01/02/2024,402.59
01/02/2025,510.23
01/03/2020,214.07
01/03/2022,401.47
01/03/2023,264.34
01/03/2024,398.33
01/03/2025,518.58
01/04/2021,309.15
01/04/2022,396.26
01/04/2023,265.6
01/04/2024,396.28
01/05/2021,311.7
01/05/2022,384.09
01/05/2023,261.44
01/05/2024,396.75
01/06/2020,215.45
01/06/2021,307.38
01/06/2022,383.82
01/06/2023,268.66
01/06/2025,524.54
01/07/2020,215.42
01/07/2021,314.81
01/07/2022,379.66
01/07/2025,515.18
01/08/2020,217.04
01/08/2021,318.86
01/08/2024,404.95
01/08/2025,515.27
01/09/2020,218.88
01/09/2023,270.4
01/09/2024,405.75
01/10/2020,218.32
01/10/2022,379.91
01/10/2023,272.69
01/10/2024,408.5
01/10/2025,507.19
01/11/2021,314.25
01/11/2022,385.62
01/11/2023,277.4
01/11/2024,409.35
01/12/2021,313.76
01/12/2022,387.15
01/12/2023,278.9
01/12/2024,409.56
01/13/2020,220.83
01/13/2021,315.87
01/13/2022,377.46
01/13/2023,280.82
01/13/2025,505.56
01/14/2020,219.96
01/14/2021,314.18
01/14/2022,379.81
01/14/2025,505.08
01/15/2020,220.05
01/15/2021,311.7
01/15/2025,516.7
01/16/2020,222.16
01/16/2024,409.52
01/16/2025,513.08
01/17/2020,223.26
01/17/2023,281.39
01/17/2024,407.21
01/17/2025,521.74
01/18/2022,370.36
01/18/2023,277.73
01/18/2024,412.99
01/19/2021,316.24
01/19/2022,366.29
01/19/2023,275.01
01/19/2024,421.18
01/20/2021,323.6
01/20/2022,361.53
01/20/2023,282.53
01/21/2020,223.16
01/21/2021,326.19
01/21/2022,351.51
01/21/2025,524.8
01/22/2020,223.75
01/22/2021,325.25
01/22/2024,421.73
01/22/2025,531.51
01/23/2020,224.47
01/23/2023,288.81
01/23/2024,423.48
01/23/2025,532.64
01/24/2020,222.58
01/24/2022,353.11
01/24/2023,288.22
01/24/2024,425.83
01/24/2025,529.63
01/25/2021,327.94
01/25/2022,344.93
01/25/2023,287.58
01/25/2024,426.35
01/26/2021,328.42
01/26/2022,344.39
01/26/2023,293.19
01/26/2024,423.81
01/27/2020,217.99
01/27/2021,319.26
01/27/2022,340.92
01/27/2023,296.1
01/27/2025,514.21
01/28/2020,221.33
01/28/2021,321.15
01/28/2022,351.62
01/28/2025,521.81
01/29/2020,221.69
01/29/2021,314.39
01/29/2024,428.15
01/29/2025,520.83
01/30/2020,222.48
01/30/2023,290.12
01/30/2024,425.3
01/30/2025,523.05
01/31/2020,218.95
01/31/2022,362.86
01/31/2023,294.47
01/31/2024,416.97
01/31/2025,522.29
02/01/2021,322.25
02/01/2022,365.33
02/01/2023,300.76
02/01/2024,421.88
02/02/2021,327.51
02/02/2022,368.3
02/02/2023,311.56
02/02/2024,429.01
02/03/2020,222.26
02/03/2021,326.21
02/03/2022,353.36
