,MedianPrice,Lower_2%,Upper_97%
2025-07-10,51.539052608041466,45.36356071454697,58.59437615583005
2025-07-11,51.7338985453442,43.169982903552736,62.08325831072617
2025-07-14,51.87719172417113,41.58622030761844,65.18771898516445
2025-07-15,52.20957285458165,40.1352861415689,67.86210434330057
2025-07-16,52.381964881741226,38.93509345429621,70.09828114286694
